trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
329,False,"{'a': 0.005, 'e': 0.19301256279376172}",25,9,-26.29320827343604,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 1}",1
330,False,"{'a': 0.005, 'e': 0.19204990862075408}",35,15,16.54493481027168,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",1
331,False,"{'a': 0.005, 'e': 0.19109205570546464}",25,7,-8.163808475907828,"{0: 15, 1: 0, 2: 2, 3: 1, 4: 0}",1
332,False,"{'a': 0.005, 'e': 0.1901389801015205}",20,3,29.919117836036918,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
333,False,"{'a': 0.005, 'e': 0.18919065798198204}",20,12,-1.0343154071783838,"{0: 6, 1: 1, 2: 1, 3: 0, 4: 0}",1
334,False,"{'a': 0.005, 'e': 0.1882470656387468}",20,15,7.581243015894879,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
335,False,"{'a': 0.005, 'e': 0.18730817948195702}",30,3,-60.25070913044188,"{0: 23, 1: 1, 2: 1, 3: 0, 4: 2}",1
336,False,"{'a': 0.005, 'e': 0.18637397603940997}",30,19,9.016391726655527,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
337,False,"{'a': 0.005, 'e': 0.18544443195597088}",20,12,-25.660692092958733,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 1}",1
338,False,"{'a': 0.005, 'e': 0.18451952399298926}",25,13,8.670032633269688,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
339,False,"{'a': 0.005, 'e': 0.18359922902771786}",30,0,24.94065355870014,"{0: 28, 1: 1, 2: 1, 3: 0, 4: 0}",0
340,False,"{'a': 0.005, 'e': 0.18268352405273466}",30,22,11.363067550562786,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 0}",1
341,False,"{'a': 0.005, 'e': 0.18177238617536751}",20,11,6.420970179012903,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
342,False,"{'a': 0.005, 'e': 0.1808657926171221}",20,7,-73.16599061295902,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 2}",1
343,False,"{'a': 0.005, 'e': 0.17996372071311217}",20,9,-2.5006199924157375,"{0: 9, 1: 1, 2: 1, 3: 0, 4: 0}",1
344,False,"{'a': 0.005, 'e': 0.17906614791149322}",20,16,8.593360872381844,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
345,False,"{'a': 0.005, 'e': 0.17817305177289841}",20,13,-1.8194745365807172,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
346,False,"{'a': 0.005, 'e': 0.17728440996987782}",25,9,16.554852359920716,"{0: 15, 1: 1, 2: 0, 3: 0, 4: 0}",1
347,False,"{'a': 0.005, 'e': 0.17640020028633999}",30,24,10.901910740728562,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
348,False,"{'a': 0.005, 'e': 0.17552040061699686}",25,17,2.043236616741556,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
349,False,"{'a': 0.005, 'e': 0.17464498896681085}",30,14,14.423637069513475,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 0}",1
350,False,"{'a': 0.005, 'e': 0.17377394345044514}",30,20,18.521244022885593,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
351,False,"{'a': 0.005, 'e': 0.17290724229171636}",20,3,-18.285926290009915,"{0: 14, 1: 1, 2: 0, 3: 2, 4: 0}",1
352,False,"{'a': 0.005, 'e': 0.17204486382305054}",30,0,47.30933852340037,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
353,False,"{'a': 0.005, 'e': 0.1711867864849409}",20,8,-23.618340148171555,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 1}",1
354,False,"{'a': 0.005, 'e': 0.17033298882540943}",20,0,20.26521299103151,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
355,False,"{'a': 0.005, 'e': 0.16948344949947006}",20,3,35.520989447486905,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
356,False,"{'a': 0.005, 'e': 0.1686381472685955}",30,7,22.149682235567905,"{0: 22, 1: 0, 2: 1, 3: 0, 4: 0}",1
357,False,"{'a': 0.005, 'e': 0.16779706100018585}",25,2,29.3036695129807,"{0: 22, 1: 1, 2: 0, 3: 0, 4: 0}",1
358,False,"{'a': 0.005, 'e': 0.16696016966704069}",20,13,1.1595792314746776,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
359,False,"{'a': 0.005, 'e': 0.16612745234683307}",25,18,1.5803552381922397,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
360,False,"{'a': 0.005, 'e': 0.16529888822158653}",20,14,10.081382951858414,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
361,False,"{'a': 0.005, 'e': 0.1644744565771549}",20,5,-26.677614899546803,"{0: 10, 1: 2, 2: 3, 3: 0, 4: 0}",1
362,False,"{'a': 0.005, 'e': 0.16365413680270405}",25,9,10.470081867325746,"{0: 14, 1: 1, 2: 1, 3: 0, 4: 0}",1
363,False,"{'a': 0.005, 'e': 0.16283790839019696}",30,4,-5.7886687221200175,"{0: 24, 1: 1, 2: 0, 3: 0, 4: 1}",1
364,False,"{'a': 0.005, 'e': 0.16202575093388075}",30,8,11.485656217624749,"{0: 18, 1: 3, 2: 1, 3: 0, 4: 0}",1
365,False,"{'a': 0.005, 'e': 0.16121764412977677}",20,16,5.433133176781693,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
366,False,"{'a': 0.005, 'e': 0.16041356777517274}",25,4,28.8197990252053,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 0}",1
367,False,"{'a': 0.005, 'e': 0.15961350176811803}",20,6,21.77762132181257,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
368,False,"{'a': 0.005, 'e': 0.15881742610692068}",20,0,20.723107427299986,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",1
369,False,"{'a': 0.005, 'e': 0.1580253208896478}",35,0,29.703316161058698,"{0: 33, 1: 0, 2: 2, 3: 0, 4: 0}",0
370,False,"{'a': 0.005, 'e': 0.15723716631362761}",30,4,34.36167371861287,"{0: 26, 1: 0, 2: 0, 3: 0, 4: 0}",1
371,False,"{'a': 0.005, 'e': 0.15645294267495474}",20,3,24.320183773464187,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
372,False,"{'a': 0.005, 'e': 0.15567263036799731}",20,12,12.641195714216183,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
373,False,"{'a': 0.005, 'e': 0.15489620988490704}",20,7,21.92721209655096,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
374,False,"{'a': 0.005, 'e': 0.1541236618151314}",20,12,17.804385679153185,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
375,False,"{'a': 0.005, 'e': 0.15335496684492847}",25,17,0.3340074290975288,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
376,False,"{'a': 0.005, 'e': 0.15259010575688386}",20,7,16.82286729129766,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 0}",1
377,False,"{'a': 0.005, 'e': 0.15182905942943059}",20,6,3.913037232305433,"{0: 13, 1: 0, 2: 0, 3: 1, 4: 0}",1
378,False,"{'a': 0.005, 'e': 0.15107180883637084}",30,14,27.94474506306067,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
379,False,"{'a': 0.005, 'e': 0.15031833504640033}",25,13,1.4947254991780294,"{0: 9, 1: 3, 2: 0, 3: 0, 4: 0}",1
380,False,"{'a': 0.005, 'e': 0.14956861922263504}",20,3,-51.23803080785174,"{0: 13, 1: 0, 2: 3, 3: 0, 4: 1}",1
381,False,"{'a': 0.005, 'e': 0.14882264262214037}",25,9,-19.801519991176242,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 1}",1
382,False,"{'a': 0.005, 'e': 0.14808038659546244}",25,0,24.443568549426974,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
383,False,"{'a': 0.005, 'e': 0.14734183258616193}",20,12,14.683825253305338,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
384,False,"{'a': 0.005, 'e': 0.14660696213035015}",20,11,13.470033231037494,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
385,False,"{'a': 0.005, 'e': 0.14587575685622736}",20,13,12.222073819593795,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
386,False,"{'a': 0.005, 'e': 0.14514819848362373}",30,17,27.31627806377067,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
387,False,"{'a': 0.005, 'e': 0.14442426882354198}",20,10,11.08860879126958,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
388,False,"{'a': 0.005, 'e': 0.14370394977770293}",20,12,-3.0315457721302144,"{0: 6, 1: 1, 2: 1, 3: 0, 4: 0}",1
389,False,"{'a': 0.005, 'e': 0.14298722333809288}",20,6,-0.7148038757565445,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 0}",1
390,False,"{'a': 0.005, 'e': 0.14227407158651359}",20,13,13.508802134554768,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
391,False,"{'a': 0.005, 'e': 0.14156447669413402}",20,14,0.6393550691596668,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
392,False,"{'a': 0.005, 'e': 0.140858420921045}",20,0,19.661535162340638,"{0: 18, 1: 2, 2: 0, 3: 0, 4: 0}",0
393,False,"{'a': 0.005, 'e': 0.14015588661581535}",25,14,21.400042506259595,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
394,False,"{'a': 0.005, 'e': 0.13945685621505094}",20,16,8.838969907983621,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
395,False,"{'a': 0.005, 'e': 0.13876131224295524}",25,15,7.182605744411519,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
396,False,"{'a': 0.005, 'e': 0.13806923731089282}",20,11,18.48303497169763,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
397,False,"{'a': 0.005, 'e': 0.13738061411695424}",30,20,21.582324422384403,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
398,False,"{'a': 0.005, 'e': 0.13669542544552385}",30,14,24.29318923591792,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
399,False,"{'a': 0.005, 'e': 0.13601365416684916}",30,0,8.442999011947057,"{0: 27, 1: 0, 2: 3, 3: 0, 4: 0}",0
400,False,"{'a': 0.005, 'e': 0.1353352832366127}",20,4,18.64503646250189,"{0: 15, 1: 1, 2: 0, 3: 0, 4: 0}",1
401,False,"{'a': 0.005, 'e': 0.13466029569550586}",25,20,10.446543662628276,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
402,False,"{'a': 0.005, 'e': 0.13398867466880493}",20,0,-18.10884097952582,"{0: 17, 1: 0, 2: 2, 3: 1, 4: 0}",1
403,False,"{'a': 0.005, 'e': 0.13332040336594936}",25,12,-21.02958581016861,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 1}",1
404,False,"{'a': 0.005, 'e': 0.13265546508012172}",20,0,30.148537602691277,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
405,False,"{'a': 0.005, 'e': 0.13199384318783022}",20,9,16.36721663650557,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
406,False,"{'a': 0.005, 'e': 0.13133552114849303}",20,0,31.03974167516232,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
407,False,"{'a': 0.005, 'e': 0.13068048250402503}",20,0,2.396203419172612,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",1
408,False,"{'a': 0.005, 'e': 0.13002871087842591}",25,5,-61.10842873369555,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 2}",1
409,False,"{'a': 0.005, 'e': 0.12938018997737108}",20,3,11.207429176726261,"{0: 15, 1: 1, 2: 1, 3: 0, 4: 0}",1
410,False,"{'a': 0.005, 'e': 0.12873490358780423}",20,13,11.542329365130922,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
411,False,"{'a': 0.005, 'e': 0.12809283557753198}",25,11,-14.81292706979644,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 1}",1
412,False,"{'a': 0.005, 'e': 0.12745396989482075}",35,23,6.8337055943110565,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
413,False,"{'a': 0.005, 'e': 0.1268182905679951}",20,2,27.577518118700556,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
414,False,"{'a': 0.005, 'e': 0.12618578170503877}",20,9,-24.66510945815822,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 1}",1
415,False,"{'a': 0.005, 'e': 0.1255564274931972}",20,0,8.889163705616111,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
416,False,"{'a': 0.005, 'e': 0.12493021219858241}",25,4,36.148934385591076,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 0}",1
417,False,"{'a': 0.005, 'e': 0.12430712016577938}",20,14,13.482605195440893,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
418,False,"{'a': 0.005, 'e': 0.12368713581745483}",20,1,29.383027674154754,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
419,False,"{'a': 0.005, 'e': 0.12307024365396771}",20,1,23.2725708610663,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 0}",1
420,False,"{'a': 0.005, 'e': 0.12245642825298191}",20,8,-4.570622743810159,"{0: 10, 1: 1, 2: 0, 3: 1, 4: 0}",1
421,False,"{'a': 0.005, 'e': 0.12184567426908036}",20,0,17.197490965498957,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
422,False,"{'a': 0.005, 'e': 0.12123796643338168}",20,0,5.9449214951127844,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
423,False,"{'a': 0.005, 'e': 0.12063328955315826}",20,12,14.401461939030948,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
424,False,"{'a': 0.005, 'e': 0.12003162851145673}",25,12,20.350013912482392,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
425,False,"{'a': 0.005, 'e': 0.11943296826671962}",35,17,29.24194805351068,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
